"country"
"BRA"
"USA"
"GBR"
"CRO"
"ECU"
"COL"
"ITA"
"POL"
"BEL"
"ESP"
"FIN"
"AUS"
"BUL"
"TUR"
"GEO"
"GER"
"FRA"
"KAZ"
"RSA"
"NED"
"UKR"
"SLO"
"KOR"
"URU"
"DEN"
"RUS"
"SRB"
"JPN"
"BLR"
"HUN"
"LTU"
"CZE"
"ARG"
"CAN"
"SUI"
"AUT"
"NOR"
"MDA"
"GRE"
"SWE"
"CHI"
"SVK"
"IND"
"TUN"
"POR"
"PER"
"BIH"
"TPE"
"BOL"
"UZB"
"LAT"
"MEX"
"MON"
"CHN"
"ISR"
