"tourney_id","tourney_name","tourney_ioc","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points","tourney_date_num","w_w_14d","w_l_14d","l_w_14d","l_l_14d","w_w_28d","w_l_28d","l_w_28d","l_l_28d","mins_so_far_w","mins_so_far_l","rank_difference","rank_points_difference","winner_ioc_home_adv","winner_ioc_home_disadv","age_difference","age_mean_difference","winner_odds","loser_odds","winner_odds_prob","loser_odds_prob"
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,239,105453,"28","","Kei Nishikori","R",178,"JPN",31.227926078,105379,NA,"","Aljaz Bedene","R",181,"SLO",31.6769336071,"7-6(6) 5-7 6-4",3,"R64",170,3,2,101,67,49,18,17,2,6,11,6,116,73,56,14,17,2,6,39,1513,59,1110,77,3,2,2,1,3,2,2,1,0,156,20,403,0,0,-0.449007529100001,-0.449007529100001,1.39,3.07,0.688340807174888,0.311659192825112
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,240,132283,"24","","Lorenzo Sonego","R",191,"ITA",25.864476386,106216,NA,"Q","Bjorn Fratangelo","R",NA,"USA",27.6741957563,"6-4 7-6(5)",3,"R64",105,10,3,63,45,35,10,11,0,2,1,0,73,39,26,16,11,4,7,34,1668,233,277,77,1,2,1,0,1,2,1,0,0,90,199,1391,0,1,-1.8097193703,1.08863287107949,1.61,2.37,0.595477386934673,0.404522613065327
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,241,123755,NA,"","Daniel Elahi Galan","R",191,"COL",24.758384668,200282,"15","","Alex De Minaur","R",183,"AUS",22.0917180014,"4-6 6-3 6-4",3,"R64",155,4,0,100,67,48,15,15,10,13,2,2,89,56,36,17,14,4,8,113,702,23,2190,77,4,2,0,1,4,2,0,1,95,0,-90,-1488,0,0,2.6666666666,-2.6666666666,6.51,1.12,0.146788990825688,0.853211009174312
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,242,105683,"12","","Milos Raonic","R",196,"CAN",30.2340862423,111442,NA,"","Jordan Thompson","R",183,"AUS",26.9212867899,"6-2 6-1",3,"R64",59,14,2,37,23,22,10,8,0,0,2,0,47,30,16,5,7,3,7,19,2450,60,1104,77,1,1,1,1,1,1,1,1,0,132,41,1346,0,0,3.3127994524,2.52806801882051,1.18,4.98,0.808441558441559,0.191558441558442
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,243,200005,"20","","Ugo Humbert","L",188,"FRA",22.7378507871,105311,NA,"","Joao Sousa","R",185,"POR",31.9780971937,"6-1 6-4",3,"R64",73,6,2,50,28,24,13,9,2,2,2,1,50,27,16,12,8,1,4,30,1790,103,777,77,2,1,1,1,2,1,1,1,0,170,73,1013,0,0,-9.2402464066,-0.0886429674205083,1.2,4.67,0.79557069846678,0.20442930153322
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,244,128034,"26","","Hubert Hurkacz","R",196,"POL",24.1067761807,106045,NA,"","Denis Kudla","R",180,"USA",28.5941136208,"7-6(5) 6-4",3,"R64",94,12,4,67,42,35,12,11,3,4,3,2,72,39,27,19,11,2,4,37,1645,123,608,77,1,1,1,1,1,1,1,1,0,114,86,1037,0,1,-4.4873374401,1.92641521187949,1.45,2.82,0.660421545667447,0.339578454332553
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,245,133430,"6","","Denis Shapovalov","L",185,"CAN",21.9356605065,125802,NA,"","Ilya Ivashka","R",193,"BLR",27.0718685832,"6-7(5) 6-4 6-4",3,"R64",186,8,11,102,58,44,26,16,6,7,1,3,119,72,50,25,16,10,13,11,3000,116,673,77,4,2,1,0,4,2,1,0,0,198,105,2327,0,0,-5.1362080767,5.1362080767,1.12,6.4,0.851063829787234,0.148936170212766
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,246,126094,"4","","Andrey Rublev","R",188,"RUS",23.4195756331,105815,NA,"","Tennys Sandgren","R",188,"USA",29.6673511294,"6-1 6-2",3,"R64",69,2,1,42,28,23,11,8,0,0,8,2,55,30,19,8,7,8,12,8,5101,62,1088,77,3,2,1,1,3,2,1,1,0,46,54,4013,0,1,-6.2477754963,1.54037825087949,1.08,8.2,0.883620689655172,0.116379310344828
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,247,105916,"29","","Marton Fucsovics","R",188,"HUN",29.1170431211,106423,NA,"Q","Thanasi Kokkinakis","R",196,"AUS",24.9472963723,"7-6(3) 6-7(4) 6-4",3,"R64",191,3,5,123,69,53,28,17,7,8,7,3,105,59,47,27,17,3,5,40,1462,243,258,77,5,1,1,0,5,1,1,0,0,83,203,1204,0,0,4.1697467488,-0.562965519979493,1.69,2.2,0.565552699228792,0.434447300771208
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,248,207518,NA,"","Lorenzo Musetti","R",185,"ITA",19.0527036277,105332,"23","","Benoit Paire","R",196,"FRA",31.871321013,"6-3 6-3",3,"R64",60,3,1,52,38,29,7,9,4,5,7,5,51,25,18,9,9,2,6,94,823,33,1773,77,4,1,0,2,4,1,0,2,98,0,-61,-950,0,0,-12.8186173853,3.70328037267949,1.19,4.78,0.800670016750419,0.199329983249581
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,249,105227,NA,"","Marin Cilic","R",198,"CRO",32.4791238877,106426,"13","","Cristian Garin","R",185,"CHI",24.810403833,"3-6 7-5 7-6(5)",3,"R64",164,15,6,113,68,46,24,17,11,15,7,2,104,56,38,28,16,7,10,45,1373,20,2385,77,1,1,4,0,1,1,4,0,123,0,-25,-1012,0,0,7.6687200547,2.66222270732051,1.86,1.97,0.514360313315927,0.485639686684073
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,250,200624,NA,"","Sebastian Korda","R",196,"USA",20.7118412047,104926,"10","","Fabio Fognini","R",178,"ITA",33.8288843258,"1-6 6-4 6-2",3,"R64",106,5,1,72,55,38,8,13,8,12,1,7,79,43,26,18,12,4,8,87,865,17,2570,77,2,1,1,1,2,1,1,1,74,0,-70,-1705,1,0,-13.1170431211,0.0865794828794932,1.53,2.51,0.621287128712871,0.378712871287129
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,251,106234,"17","","Aslan Karatsev","R",185,"RUS",27.5455167693,105062,NA,"","Mikhail Kukushkin","R",183,"KAZ",33.2375085558,"6-4 6-3",3,"R64",81,3,2,56,26,20,17,10,1,3,1,1,47,32,18,7,9,3,7,27,1888,105,769,77,6,1,1,2,6,1,1,2,0,81,78,1119,0,0,-5.6919917865,-5.6919917865,1.17,5.22,0.816901408450704,0.183098591549296
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,252,105173,"25","","Adrian Mannarino","L",183,"FRA",32.7282683094,200175,NA,"","Miomir Kecmanovic","R",183,"SRB",21.5578370979,"6-3 6-4",3,"R64",90,7,2,66,36,26,16,10,3,4,2,2,62,45,28,8,9,5,8,36,1661,46,1364,77,0,1,2,1,0,1,2,1,0,144,10,297,0,0,11.1704312115,-0.341199606079492,2.08,1.77,0.45974025974026,0.54025974025974
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,253,106043,"5","","Diego Schwartzman","R",170,"ARG",28.5968514716,106034,NA,"","Yasutaka Uchiyama","R",183,"JPN",28.6269678303,"6-3 6-3",3,"R64",82,1,3,59,36,27,11,9,3,4,5,3,55,38,24,5,9,5,9,9,3640,110,716,77,0,1,1,0,0,1,1,0,0,95,101,2924,0,0,-0.0301163586999991,-0.0301163586999991,1.1,6.84,0.861460957178841,0.138539042821159
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,254,105902,NA,"","James Duckworth","R",183,"AUS",29.1663244353,105676,"8","","David Goffin","R",180,"BEL",30.288843258,"6-3 6-1",3,"R64",76,5,0,46,24,19,15,8,0,0,4,3,64,35,18,14,8,3,7,104,771,13,2795,77,1,0,1,2,1,0,1,2,132,0,-91,-2024,0,0,-1.1225188227,-1.1225188227,5.37,1.16,0.177641653905054,0.822358346094946
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,255,122330,"32","","Alexander Bublik","R",196,"KAZ",23.7618069815,111513,NA,"","Laslo Djere","R",188,"SRB",25.8042436687,"6-3 6-4",3,"R64",84,4,6,70,36,28,18,10,4,5,2,3,58,35,21,12,9,0,3,44,1385,57,1131,77,2,2,3,2,2,2,3,2,0,103,13,254,0,0,-2.0424366872,2.0424366872,1.53,2.55,0.625,0.375
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,256,126203,"22","","Taylor Fritz","R",193,"USA",23.3976728268,106218,NA,"","Marcos Giron","R",180,"USA",27.6605065024,"6-2 6-2",3,"R64",55,6,3,44,29,25,8,8,0,0,2,2,43,24,15,4,8,1,5,32,1775,88,864,77,4,2,1,0,4,2,1,0,0,115,56,911,0,0,-4.2628336756,3.56912568417949,1.5,2.66,0.639423076923077,0.360576923076923
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,257,111815,NA,"","Cameron Norrie","L",188,"GBR",25.5797399042,105777,"9","","Grigor Dimitrov","R",188,"BUL",29.8507871321,"7-5 7-5",3,"R64",117,10,1,76,59,42,9,12,5,7,4,6,81,54,36,10,12,5,9,56,1140,16,2620,77,4,2,2,1,4,2,2,1,135,0,-40,-1480,0,0,-4.2710472279,-0.803222022920508,2.7,1.49,0.355608591885441,0.644391408114558
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,258,111575,"14","","Karen Khachanov","R",198,"RUS",24.8350444901,105870,NA,"","Yannick Hanfmann","R",193,"GER",29.3552361396,"6-3 6-2",3,"R64",70,5,1,47,30,25,8,9,1,3,1,1,53,29,17,6,8,3,8,22,2200,108,750,77,2,2,1,1,2,2,1,1,0,84,86,1450,0,0,-4.5201916495,0.437024383679493,1.22,4.41,0.783303730017762,0.216696269982238
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,259,206173,"21","","Jannik Sinner","R",188,"ITA",19.5975359343,200384,NA,"WC","Hugo Gaston","L",NA,"FRA",20.4845995893,"6-2 6-2",3,"R64",62,3,2,47,27,22,12,8,3,3,0,3,52,27,18,11,8,3,7,31,1789,162,445,77,4,2,2,1,4,2,2,1,0,71,131,1344,0,0,-0.887063654999999,0.887063654999999,1.19,4.99,0.807443365695793,0.192556634304207
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,260,144707,NA,"","Mikael Ymer","R",183,"SWE",22.5325119781,105932,"27","","Nikoloz Basilashvili","R",185,"GEO",29.0759753593,"6-3 4-6 6-4",3,"R64",132,1,1,95,73,41,11,15,4,10,1,5,80,45,26,15,14,5,12,95,820,38,1645,77,1,0,5,1,1,0,5,1,64,0,-57,-825,0,0,-6.5434633812,3.01881767597949,2.4,1.59,0.398496240601504,0.601503759398496
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,261,200325,NA,"","Emil Ruusuvuori","R",188,"FIN",21.9712525667,100644,"3","","Alexander Zverev","R",198,"GER",23.9206023272,"1-6 6-3 6-1",3,"R64",124,0,5,76,46,32,10,12,3,8,11,7,78,45,27,12,11,12,18,83,881,7,6070,77,3,2,4,0,3,2,4,0,131,0,-76,-5189,0,0,-1.9493497605,1.9493497605,4.98,1.18,0.191558441558442,0.808441558441559
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,263,105526,"31","","Jan Lennard Struff","R",193,"GER",30.9075975359,105575,NA,"","Ricardas Berankis","R",175,"LTU",30.7515400411,"6-3 6-4",3,"R64",99,10,3,67,38,32,12,10,5,6,2,9,91,65,40,9,9,12,15,42,1450,89,860,77,1,1,1,0,1,1,1,0,0,81,47,590,0,0,0.156057494799999,0.156057494799999,1.42,2.94,0.674311926605505,0.325688073394495
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,264,104545,"18","","John Isner","R",206,"USA",35.9041752225,111456,NA,"Q","Mackenzie Mcdonald","R",NA,"USA",25.9329226557,"2-6 6-3 7-5",3,"R64",108,15,1,82,57,44,14,15,1,3,8,3,78,53,42,12,14,3,5,28,1850,120,633,77,1,1,2,1,1,1,2,1,0,122,92,1217,0,0,9.9712525668,7.20979286482051,2.09,1.72,0.451443569553806,0.548556430446194
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,265,200000,"11","","Felix Auger Aliassime","R",193,"CAN",20.6187542779,105732,NA,"","Pierre Hugues Herbert","R",188,"FRA",30.0123203285,"6-4 6-4",3,"R64",92,2,5,58,36,29,8,10,3,5,5,1,60,29,17,17,10,4,8,18,2561,74,972,77,2,1,5,1,2,1,5,1,0,65,56,1589,0,0,-9.3935660506,3.99623040697949,1.51,2.61,0.633495145631068,0.366504854368932
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,266,105583,"16","","Dusan Lajovic","R",180,"SRB",30.726899384,124014,NA,"Q","Ernesto Escobedo","R",NA,"USA",24.7145790554,"6-2 6-3",3,"R64",73,6,0,42,27,21,12,8,2,2,3,1,58,34,24,7,9,2,6,26,1895,205,343,77,1,2,1,0,1,2,1,0,0,91,179,1552,0,1,6.0123203286,0.81417342602051,1.69,2.21,0.566666666666667,0.433333333333333
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,267,126207,NA,"","Frances Tiafoe","R",188,"USA",23.1676933607,105554,"19","","Daniel Evans","R",175,"GBR",30.8309377139,"6-7(5) 6-3 6-3",3,"R64",170,10,1,96,64,50,15,15,3,4,8,3,103,57,41,20,15,4,8,58,1120,29,1813,77,3,2,1,2,3,2,1,2,134,0,-29,-693,1,0,-7.6632443532,0.628673938779492,2.11,1.76,0.454780361757106,0.545219638242894
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,268,200615,NA,"","Alexei Popyrin","R",196,"AUS",21.6290212183,124187,"30","","Reilly Opelka","R",211,"USA",23.5646817248,"6-4 6-2",3,"R64",65,13,1,54,34,28,12,9,3,3,12,3,52,31,20,11,9,3,6,86,873,41,1457,77,2,1,0,2,2,1,0,2,82,0,-45,-584,0,1,-1.9356605065,1.9356605065,2.15,1.73,0.445876288659794,0.554123711340206
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,269,106421,"1","","Daniil Medvedev","R",198,"RUS",25.1088295688,104229,NA,"PR","Yen Hsun Lu","R",180,"TPE",37.6043805613,"6-2 6-2",3,"R64",56,9,1,43,26,22,10,8,3,4,1,3,45,32,13,5,8,3,8,2,9940,1020,10,77,4,0,1,0,4,0,1,0,0,70,1018,9930,0,0,-12.4955509925,-8.08590511672051,1.01,17.31,0.944868995633188,0.0551310043668122
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,270,126774,"2","","Stefanos Tsitsipas","R",193,"GRE",22.6091718001,105453,"28","","Kei Nishikori","R",178,"JPN",31.227926078,"6-3 3-6 6-1",3,"R32",116,12,0,65,45,40,11,13,1,2,1,0,87,57,35,16,12,7,10,5,6950,39,1513,77,6,2,4,2,6,2,4,2,68,170,34,5437,0,0,-8.6187542779,0.790207135279491,1.22,4.39,0.7825311942959,0.2174688057041
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,271,132283,"24","","Lorenzo Sonego","R",191,"ITA",25.864476386,123755,NA,"","Daniel Elahi Galan","R",191,"COL",24.758384668,"7-6(6) 6-3",3,"R32",111,7,3,74,49,36,14,11,2,3,0,1,68,43,31,11,10,4,6,34,1668,113,702,77,2,2,5,2,2,2,5,2,105,250,79,966,0,0,1.106091718,-1.106091718,1.33,3.33,0.714592274678112,0.285407725321888
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,272,105683,"12","","Milos Raonic","R",196,"CAN",30.2340862423,200005,"20","","Ugo Humbert","L",188,"FRA",22.7378507871,"6-4 7-5",3,"R32",99,12,3,68,44,34,13,11,3,3,9,1,66,41,28,15,11,3,5,19,2450,30,1790,77,2,1,3,1,2,1,3,1,59,73,11,660,0,0,7.4962354552,-1.65536798397949,1.49,2.67,0.641826923076923,0.358173076923077
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,273,128034,"26","","Hubert Hurkacz","R",196,"POL",24.1067761807,133430,"6","","Denis Shapovalov","L",185,"CAN",21.9356605065,"6-3 7-6(6)",3,"R32",92,2,1,69,47,38,15,11,3,3,4,1,61,44,35,8,10,0,1,37,1645,11,3000,77,2,1,5,2,2,1,5,2,94,186,-26,-1355,0,0,2.1711156742,-2.1711156742,2.7,1.48,0.354066985645933,0.645933014354067
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,274,126094,"4","","Andrey Rublev","R",188,"RUS",23.4195756331,105916,"29","","Marton Fucsovics","R",188,"HUN",29.1170431211,"6-2 6-1",3,"R32",52,2,1,40,26,23,7,7,1,1,0,1,45,34,15,3,8,1,6,8,5101,40,1462,77,4,2,6,1,4,2,6,1,69,191,32,3639,0,0,-5.697467488,2.09068625917949,1.16,5.41,0.823439878234399,0.176560121765601
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,275,105227,NA,"","Marin Cilic","R",198,"CRO",32.4791238877,207518,NA,"","Lorenzo Musetti","R",185,"ITA",19.0527036277,"6-3 6-4",3,"R32",74,9,2,55,28,24,18,10,2,2,5,1,51,37,24,9,9,1,3,45,1373,94,823,77,2,1,5,1,2,1,5,1,287,158,49,550,0,0,13.42642026,-3.09547749797949,2.3,1.64,0.416243654822335,0.583756345177665
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,276,200624,NA,"","Sebastian Korda","R",196,"USA",20.7118412047,106234,"17","","Aslan Karatsev","R",185,"RUS",27.5455167693,"6-3 6-0",3,"R32",67,3,0,42,21,18,13,7,2,2,1,4,50,26,16,7,8,4,9,87,865,27,1888,77,3,1,7,1,3,1,7,1,180,81,-60,-1023,1,0,-6.8336755646,6.36994703937949,3.01,1.39,0.315909090909091,0.684090909090909
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,277,106043,"5","","Diego Schwartzman","R",170,"ARG",28.5968514716,105173,"25","","Adrian Mannarino","L",183,"FRA",32.7282683094,"6-1 6-4",3,"R32",75,1,1,47,31,25,11,9,0,0,5,1,48,33,19,9,8,2,5,9,3640,36,1661,77,1,1,1,1,1,1,1,1,82,90,27,1979,0,0,-4.1314168378,-4.1314168378,1.3,3.57,0.73305954825462,0.26694045174538
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,278,122330,"32","","Alexander Bublik","R",196,"KAZ",23.7618069815,105902,NA,"","James Duckworth","R",183,"AUS",29.1663244353,"6-4 6-4",3,"R32",83,10,3,56,35,26,12,10,2,4,2,1,66,35,23,14,10,8,12,44,1385,104,771,77,3,2,2,0,3,2,2,0,84,208,60,614,0,0,-5.4045174538,1.69917359657949,1.41,2.91,0.673611111111111,0.326388888888889
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,279,126203,"22","","Taylor Fritz","R",193,"USA",23.3976728268,111815,NA,"","Cameron Norrie","L",188,"GBR",25.5797399042,"6-4 3-6 6-1",3,"R32",111,7,5,97,57,42,19,13,3,4,9,1,70,49,34,11,13,2,5,32,1775,56,1140,77,5,2,5,2,5,2,5,2,55,252,24,635,1,0,-2.1820670774,2.1820670774,1.7,2.13,0.556135770234987,0.443864229765013
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,280,206173,"21","","Jannik Sinner","R",188,"ITA",19.5975359343,111575,"14","","Karen Khachanov","R",198,"RUS",24.8350444901,"4-6 7-6(2) 6-4",3,"R32",170,0,4,111,71,50,23,16,7,10,3,0,118,69,47,28,16,10,13,31,1789,22,2200,77,5,2,3,2,5,2,3,2,62,70,-9,-411,0,0,-5.2375085558,5.2375085558,1.61,2.37,0.595477386934673,0.404522613065327
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,281,200325,NA,"","Emil Ruusuvuori","R",188,"FIN",21.9712525667,144707,NA,"","Mikael Ymer","R",183,"SWE",22.5325119781,"4-6 6-1 7-5",3,"R32",137,3,6,92,64,40,11,15,6,12,1,3,73,42,22,11,14,2,10,83,881,95,820,77,4,2,2,0,4,2,2,0,255,196,12,61,0,0,-0.561259411400002,0.561259411400002,1.5,2.65,0.63855421686747,0.36144578313253
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,282,105138,"7","","Roberto Bautista Agut","R",183,"ESP",32.9363449692,105526,"31","","Jan Lennard Struff","R",193,"GER",30.9075975359,"4-6 6-3 6-2",3,"R32",111,5,2,77,56,41,8,14,1,4,8,2,82,50,31,14,13,1,6,12,2910,42,1450,77,5,2,2,1,5,2,2,1,0,99,30,1460,0,0,2.0287474333,2.0287474333,1.28,3.79,0.747534516765286,0.252465483234714
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,283,104545,"18","","John Isner","R",206,"USA",35.9041752225,200000,"11","","Felix Auger Aliassime","R",193,"CAN",20.6187542779,"7-6(5) 7-6(5)",3,"R32",109,16,1,77,57,47,12,12,0,0,11,5,74,56,48,9,12,0,0,28,1850,18,2561,77,2,1,3,1,2,1,3,1,108,92,-10,-711,1,0,15.2854209446,1.89562448702051,2.91,1.43,0.329493087557604,0.670506912442396
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,284,126207,NA,"","Frances Tiafoe","R",188,"USA",23.1676933607,105583,"16","","Dusan Lajovic","R",180,"SRB",30.726899384,"1-6 7-5 6-3",3,"R32",119,6,2,87,60,41,16,14,4,6,7,2,83,57,42,14,14,5,7,58,1120,26,1895,77,4,2,2,2,4,2,2,2,304,73,-32,-775,1,0,-7.5592060233,0.732712268679492,1.56,2.46,0.611940298507463,0.388059701492537
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,285,106421,"1","","Daniil Medvedev","R",198,"RUS",25.1088295688,200615,NA,"","Alexei Popyrin","R",196,"AUS",21.6290212183,"7-6(3) 6-7(7) 6-4",3,"R32",157,10,6,98,49,45,27,17,0,1,8,7,129,74,54,26,17,7,9,2,9940,86,873,77,5,0,3,1,5,0,3,1,56,147,84,9067,0,0,3.4798083505,-3.4798083505,1.11,6.79,0.859493670886076,0.140506329113924
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,286,126774,"2","","Stefanos Tsitsipas","R",193,"GRE",22.6091718001,132283,"24","","Lorenzo Sonego","R",191,"ITA",25.864476386,"6-2 7-6(2)",3,"R16",91,3,0,58,38,34,11,10,0,0,3,2,63,43,28,13,10,2,4,5,6950,34,1668,77,7,2,3,2,7,2,3,2,184,216,29,5282,0,0,-3.2553045859,3.2553045859,1.14,5.98,0.839887640449438,0.160112359550562
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,287,128034,"26","","Hubert Hurkacz","R",196,"POL",24.1067761807,105683,"12","","Milos Raonic","R",196,"CAN",30.2340862423,"4-6 6-3 7-6(4)",3,"R16",140,14,4,100,67,54,17,16,1,2,12,5,104,62,47,24,15,10,11,37,1645,19,2450,77,3,1,3,1,3,1,3,1,186,158,-18,-805,0,0,-6.1273100616,0.286442590379494,3.13,1.38,0.305986696230599,0.694013303769401
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,288,126094,"4","","Andrey Rublev","R",188,"RUS",23.4195756331,105227,NA,"","Marin Cilic","R",198,"CRO",32.4791238877,"6-4 6-4",3,"R16",81,6,1,52,35,29,11,10,0,0,6,4,68,37,28,14,10,0,2,8,5101,45,1373,77,5,2,3,1,5,2,3,1,121,361,37,3728,0,0,-9.0595482546,-1.27139450742051,1.1,7.21,0.8676293622142,0.1323706377858
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,289,200624,NA,"","Sebastian Korda","R",196,"USA",20.7118412047,106043,"5","","Diego Schwartzman","R",170,"ARG",28.5968514716,"6-3 4-6 7-5",3,"R16",155,8,5,101,62,45,20,16,5,8,1,5,103,58,33,27,15,7,11,87,865,9,3640,77,4,1,2,1,4,1,2,1,247,157,-78,-2775,1,0,-7.8850102669,5.31861233707949,2.36,1.61,0.405541561712846,0.594458438287154
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,290,122330,"32","","Alexander Bublik","R",196,"KAZ",23.7618069815,126203,"22","","Taylor Fritz","R",193,"USA",23.3976728268,"6-7(5) 6-3 6-4",3,"R16",132,23,8,116,69,50,19,16,8,11,5,1,83,55,39,15,15,1,6,44,1385,32,1775,77,4,2,6,2,4,2,6,2,167,166,-12,-390,0,1,0.3641341547,-0.3641341547,2.32,1.63,0.412658227848101,0.587341772151899
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,291,206173,"21","","Jannik Sinner","R",188,"ITA",19.5975359343,200325,NA,"","Emil Ruusuvuori","R",188,"FIN",21.9712525667,"6-3 6-2",3,"R16",69,4,1,53,39,28,7,9,1,2,0,3,46,28,15,10,8,0,4,31,1789,83,881,77,6,2,5,2,6,2,5,2,232,392,52,908,0,0,-2.3737166324,2.3737166324,1.44,2.85,0.664335664335664,0.335664335664336
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,292,105138,"7","","Roberto Bautista Agut","R",183,"ESP",32.9363449692,104545,"18","","John Isner","R",206,"USA",35.9041752225,"6-3 4-6 7-6(7)",3,"R16",138,4,2,93,62,47,23,15,5,6,23,1,97,65,51,15,16,0,2,12,2910,28,1850,77,6,2,3,1,6,2,3,1,111,217,16,1060,0,1,-2.9678302533,-2.9678302533,1.53,2.55,0.625,0.375
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,293,106421,"1","","Daniil Medvedev","R",198,"RUS",25.1088295688,126207,NA,"","Frances Tiafoe","R",188,"USA",23.1676933607,"6-4 6-3",3,"R16",92,11,3,60,38,30,13,10,2,3,0,0,56,34,19,12,9,1,4,2,9940,58,1120,77,6,0,5,2,6,0,5,2,213,423,56,8820,0,1,1.9411362081,-1.9411362081,1.16,5.4,0.823170731707317,0.176829268292683
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,294,128034,"26","","Hubert Hurkacz","R",196,"POL",24.1067761807,126774,"2","","Stefanos Tsitsipas","R",193,"GRE",22.6091718001,"2-6 6-3 6-4",3,"QF",140,15,1,92,60,39,17,14,10,13,7,3,96,61,43,15,13,5,8,37,1645,5,6950,77,4,1,8,2,4,1,8,2,326,275,-32,-5305,0,0,1.4976043806,-1.4976043806,4.7,1.21,0.204737732656514,0.795262267343486
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,295,126094,"4","","Andrey Rublev","R",188,"RUS",23.4195756331,200624,NA,"","Sebastian Korda","R",196,"USA",20.7118412047,"7-5 7-6(7)",3,"QF",102,5,0,66,33,28,16,12,0,2,4,2,79,55,39,8,12,4,7,8,5101,87,865,77,6,2,5,1,6,2,5,1,202,402,79,4236,0,1,2.7077344284,-2.7077344284,1.21,4.85,0.8003300330033,0.1996699669967
"2021-0403","Miami Masters","USA","Hard",128,"M",20210322,296,206173,"21","","Jannik Sinner","R",188,"ITA",19.5975359343,122330,"32","","Alexander Bublik","R",196,"KAZ",23.7618069815,"7-6(5) 6-4",3,"QF",100,2,3,81,52,33,17,11,7,9,7,5,88,52,33,17,11,6,9,31,1789,44,1385,77,7,2,5,2,7,2,5,2,301,299,13,404,0,0,-4.1642710472,4.1642710472,1.35,3.33,0.711538461538462,0.288461538461538
