"tourney_id","tourney_name","tourney_ioc","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points","tourney_date_num","w_w_14d","w_l_14d","l_w_14d","l_l_14d","w_w_28d","w_l_28d","l_w_28d","l_l_28d","mins_so_far_w","mins_so_far_l","rank_difference","rank_points_difference","winner_ioc_home_adv","winner_ioc_home_disadv","age_difference","age_mean_difference","winner_odds","loser_odds","winner_odds_prob","loser_odds_prob"
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,284,106328,NA,"Q","Christian Harrison","R",NA,"USA",26.6036960986,144869,NA,"","Tomas Martin Etcheverry","R",NA,"ARG",21.4674880219,"6-4 6-2",3,"R32",80,10,4,51,34,29,7,9,2,3,4,3,69,44,25,10,9,9,13,789,22,256,216,0,0,0,0,0,0,0,0,0,0,0,-533,-194,1,0,5.1362080767,-5.1362080767,1.39,2.95,0.679723502304148,0.320276497695853
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,286,104545,"2","","John Isner","R",206,"USA",35.6933607118,106329,NA,"","Thiago Monteiro","L",183,"BRA",26.598220397,"6-4 7-6(4)",3,"R16",93,22,1,66,48,41,9,11,0,0,4,2,75,51,40,13,11,3,4,25,1850,84,820,0,0,0,1,0,0,0,1,0,0,100,59,1030,1,0,9.0951403148,7.6642760954205,1.46,2.69,0.648192771084337,0.351807228915663
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,287,200624,NA,"","Sebastian Korda","R",196,"USA",20.501026694,126205,"5","","Tommy Paul","R",185,"USA",23.6358658453,"4-6 6-3 6-2",3,"R16",128,3,2,87,58,36,18,13,9,11,2,4,83,55,34,12,14,1,6,119,566,52,1080,0,1,0,1,0,1,0,1,0,93,67,-67,-514,0,0,-3.1348391513,3.1348391513,2.42,1.54,0.388888888888889,0.611111111111111
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,288,111815,NA,"","Cameron Norrie","L",188,"GBR",25.3689253936,105173,"3","","Adrian Mannarino","L",183,"FRA",32.5174537988,"6-2 7-5",3,"R16",95,5,5,59,33,25,12,10,2,4,1,3,62,31,17,14,10,3,8,74,877,34,1561,0,1,0,0,0,1,0,0,0,67,0,-40,-684,0,0,-7.1485284052,-3.25907417902051,1.9,1.91,0.501312335958005,0.498687664041995
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,289,126207,"8","","Frances Tiafoe","R",188,"USA",22.9568788501,106216,NA,"","Bjorn Fratangelo","R",NA,"USA",27.4633812457,"6-4 3-6 6-1",3,"R16",109,6,7,85,48,40,16,13,5,7,3,2,81,47,33,15,13,2,6,62,1005,274,195,0,1,0,1,0,1,0,1,0,76,69,212,810,0,0,-4.5065023956,4.20704491757949,1.31,3.41,0.722457627118644,0.277542372881356
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,290,105933,NA,"Q","Roberto Quiroz","L",193,"ECU",28.8651608487,103333,NA,"","Ivo Karlovic","R",208,"CRO",41.8507871321,"6-2 6-4",3,"R16",59,4,0,41,31,28,8,9,0,0,7,4,46,31,24,5,9,2,5,293,171,148,444,0,1,0,1,0,1,0,1,0,89,136,-145,-273,0,0,-12.9856262834,-12.9856262834,2.18,1.69,0.436692506459948,0.563307493540052
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,291,128034,"4","","Hubert Hurkacz","R",196,"POL",23.8959616701,123755,NA,"","Daniel Elahi Galan","R",191,"COL",24.5475701574,"6-2 6-2",3,"R16",59,5,0,43,26,21,13,8,1,1,4,1,51,31,19,6,8,3,7,35,1518,115,606,0,0,0,1,0,0,0,1,0,0,81,80,912,0,0,-0.651608487299999,0.651608487299999,1.35,3.13,0.698660714285714,0.301339285714286
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,292,126149,NA,"","Gianluca Mager","R",185,"ITA",26.0944558522,105023,"6","","Sam Querrey","R",198,"USA",33.2457221081,"7-6(8) 6-1",3,"R16",82,4,8,86,54,42,14,10,7,8,10,4,65,34,26,10,9,1,4,101,733,56,1065,0,1,0,1,0,1,0,1,0,115,70,-45,-332,0,1,-7.1512662559,-4.71287294692051,3.72,1.27,0.254509018036072,0.745490981963928
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,293,106328,NA,"Q","Christian Harrison","R",NA,"USA",26.6036960986,106426,"1","","Cristian Garin","R",185,"CHI",24.5995893224,"7-6(3) 6-2",3,"R16",90,4,2,63,42,29,13,10,4,6,3,3,71,44,26,11,10,7,11,789,22,22,2180,0,1,0,0,0,1,0,0,0,80,0,-767,-2158,1,0,2.0041067762,-2.0041067762,2.75,1.44,0.343675417661098,0.656324582338902
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,294,200624,NA,"","Sebastian Korda","R",196,"USA",20.501026694,104545,"2","","John Isner","R",206,"USA",35.6933607118,"6-3 4-6 6-3",3,"QF",111,5,4,81,49,40,19,14,5,6,13,1,83,60,39,12,14,4,7,119,566,25,1850,0,2,0,1,0,2,0,1,0,221,93,-94,-1284,0,0,-15.1923340178,-1.56708239242051,2.12,1.74,0.450777202072539,0.549222797927461
